epoch,layer,model_a,seed_a,model_b,seed_b,score
4,4,de,6,fr,4,0.4988
5,4,de,6,fr,4,0.6085
6,4,de,6,fr,4,0.5701
7,4,de,6,fr,4,0.5883
8,4,de,6,fr,4,0.6266
9,4,de,6,fr,4,0.5941
10,4,de,6,fr,4,0.6257
11,4,de,6,fr,4,0.585
12,4,de,6,fr,4,0.6004
13,4,de,6,fr,4,0.5665
14,4,de,6,fr,4,0.578
15,4,de,6,fr,4,0.5528
16,4,de,6,fr,4,0.6156
17,4,de,6,fr,4,0.5769
18,4,de,6,fr,4,0.5977
19,4,de,6,fr,4,0.6055
20,4,de,6,fr,4,0.5907
21,4,de,6,fr,4,0.5956
22,4,de,6,fr,4,0.5928
23,4,de,6,fr,4,0.5732
24,4,de,6,fr,4,0.6328
4,5,de,6,fr,4,0.5754
5,5,de,6,fr,4,0.6214
6,5,de,6,fr,4,0.5722
7,5,de,6,fr,4,0.5962
8,5,de,6,fr,4,0.5987
9,5,de,6,fr,4,0.58
10,5,de,6,fr,4,0.6087
11,5,de,6,fr,4,0.6105
12,5,de,6,fr,4,0.6174
13,5,de,6,fr,4,0.5659
14,5,de,6,fr,4,0.5696
15,5,de,6,fr,4,0.5861
16,5,de,6,fr,4,0.6045
17,5,de,6,fr,4,0.6052
18,5,de,6,fr,4,0.5935
19,5,de,6,fr,4,0.5775
20,5,de,6,fr,4,0.5975
21,5,de,6,fr,4,0.5668
22,5,de,6,fr,4,0.6013
23,5,de,6,fr,4,0.568
24,5,de,6,fr,4,0.5991
4,6,de,6,fr,4,0.6005
5,6,de,6,fr,4,0.5504
6,6,de,6,fr,4,0.5572
7,6,de,6,fr,4,0.5402
8,6,de,6,fr,4,0.5298
9,6,de,6,fr,4,0.5253
10,6,de,6,fr,4,0.4992
11,6,de,6,fr,4,0.4691
12,6,de,6,fr,4,0.5274
13,6,de,6,fr,4,0.4475
14,6,de,6,fr,4,0.5091
15,6,de,6,fr,4,0.4842
16,6,de,6,fr,4,0.4467
17,6,de,6,fr,4,0.543
18,6,de,6,fr,4,0.462
19,6,de,6,fr,4,0.4266
20,6,de,6,fr,4,0.4934
21,6,de,6,fr,4,0.4881
22,6,de,6,fr,4,0.474
23,6,de,6,fr,4,0.4471
24,6,de,6,fr,4,0.4257
4,7,de,6,fr,4,0.6617
5,7,de,6,fr,4,0.6161
6,7,de,6,fr,4,0.6104
7,7,de,6,fr,4,0.587
8,7,de,6,fr,4,0.5586
9,7,de,6,fr,4,0.5773
10,7,de,6,fr,4,0.5378
11,7,de,6,fr,4,0.5208
12,7,de,6,fr,4,0.5006
13,7,de,6,fr,4,0.5034
14,7,de,6,fr,4,0.4917
15,7,de,6,fr,4,0.5045
16,7,de,6,fr,4,0.4696
17,7,de,6,fr,4,0.5473
18,7,de,6,fr,4,0.5287
19,7,de,6,fr,4,0.4765
20,7,de,6,fr,4,0.5174
21,7,de,6,fr,4,0.5056
22,7,de,6,fr,4,0.4937
23,7,de,6,fr,4,0.416
24,7,de,6,fr,4,0.4307
4,8,de,6,fr,4,0.6126
5,8,de,6,fr,4,0.6215
6,8,de,6,fr,4,0.6172
7,8,de,6,fr,4,0.6307
8,8,de,6,fr,4,0.6152
9,8,de,6,fr,4,0.615
10,8,de,6,fr,4,0.5662
11,8,de,6,fr,4,0.585
12,8,de,6,fr,4,0.5494
13,8,de,6,fr,4,0.579
14,8,de,6,fr,4,0.5562
15,8,de,6,fr,4,0.5639
16,8,de,6,fr,4,0.5576
17,8,de,6,fr,4,0.5861
18,8,de,6,fr,4,0.6022
19,8,de,6,fr,4,0.577
20,8,de,6,fr,4,0.6056
21,8,de,6,fr,4,0.5778
22,8,de,6,fr,4,0.5656
23,8,de,6,fr,4,0.5267
24,8,de,6,fr,4,0.5867
4,9,de,6,fr,4,0.5648
5,9,de,6,fr,4,0.6098
6,9,de,6,fr,4,0.6006
7,9,de,6,fr,4,0.6537
8,9,de,6,fr,4,0.6012
9,9,de,6,fr,4,0.6127
10,9,de,6,fr,4,0.586
11,9,de,6,fr,4,0.5928
12,9,de,6,fr,4,0.5591
13,9,de,6,fr,4,0.6119
14,9,de,6,fr,4,0.5536
15,9,de,6,fr,4,0.595
16,9,de,6,fr,4,0.5924
17,9,de,6,fr,4,0.5843
18,9,de,6,fr,4,0.629
19,9,de,6,fr,4,0.6059
20,9,de,6,fr,4,0.633
21,9,de,6,fr,4,0.5991
22,9,de,6,fr,4,0.5625
23,9,de,6,fr,4,0.5574
24,9,de,6,fr,4,0.6023
4,10,de,6,fr,4,0.5318
5,10,de,6,fr,4,0.5497
6,10,de,6,fr,4,0.5086
7,10,de,6,fr,4,0.5302
8,10,de,6,fr,4,0.5421
9,10,de,6,fr,4,0.5321
10,10,de,6,fr,4,0.5361
11,10,de,6,fr,4,0.5519
12,10,de,6,fr,4,0.556
13,10,de,6,fr,4,0.5725
14,10,de,6,fr,4,0.5487
15,10,de,6,fr,4,0.582
16,10,de,6,fr,4,0.5948
17,10,de,6,fr,4,0.5732
18,10,de,6,fr,4,0.5916
19,10,de,6,fr,4,0.5837
20,10,de,6,fr,4,0.6007
